SYMBOL,COMPANY,SECTOR
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels
TCS,Tata Consultancy Services Ltd.,Information Technology
HDFCBANK,HDFC Bank Ltd.,Financial Services
INFY,Infosys Ltd.,Information Technology
ICICIBANK,ICICI Bank Ltd.,Financial Services
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods
SBIN,State Bank of India,Financial Services
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication
ITC,ITC Ltd.,Fast Moving Consumer Goods
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services
LT,Larsen & Toubro Ltd.,Construction
AXISBANK,Axis Bank Ltd.,Financial Services
BAJFINANCE,Bajaj Finance Ltd.,Financial Services
ASIANPAINT,Asian Paints Ltd.,Consumer Durables
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components
HCLTECH,HCL Technologies Ltd.,Information Technology
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare
TITAN,Titan Company Ltd.,Consumer Durables
WIPRO,Wipro Ltd.,Information Technology
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services
NTPC,NTPC Ltd.,Power
TATAMOTORS,Tata Motors Ltd.,Automobile and Auto Components
POWERGRID,Power Grid Corporation of India Ltd.,Power
ONGC,Oil and Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components
TATASTEEL,Tata Steel Ltd.,Metals & Mining
ADANIENT,Adani Enterprises Ltd.,Metals & Mining
JSWSTEEL,JSW Steel Ltd.,Metals & Mining
TECHM,Tech Mahindra Ltd.,Information Technology
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services
DIVISLAB,Divi's Laboratories Ltd.,Healthcare
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods
CIPLA,Cipla Ltd.,Healthcare
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare
GRASIM,Grasim Industries Ltd.,Construction Materials
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare
HINDALCO,Hindalco Industries Ltd.,Metals & Mining
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
INDUSINDBK,IndusInd Bank Ltd.,Financial Services
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods
PIDILITIND,Pidilite Industries Ltd.,Chemicals
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables
