sector,count,de_p25,de_median,de_p75,pass_rate_1_5,suggested_cap
Auto,4,0.0259,0.3034,0.8349,75.0,1.25
Banking,6,0.6704,0.9666,1.1445,100.0,1.72
Cement,2,0.3285,0.489,0.6495,100.0,0.97
Consumer,5,0.1298,0.1339,0.7201,100.0,1.08
Energy,5,0.4786,1.3587,1.4517,80.0,2.18
FMCG,5,0.0334,0.291,0.3369,100.0,0.51
Finance,5,0.8163,0.8934,0.9942,100.0,1.49
IT,6,0.0921,0.0983,0.104,100.0,0.16
Infra,2,0.5301,0.6377,0.7452,100.0,1.12
Metals,5,0.1738,0.1851,0.5309,100.0,0.8
Pharma,5,0.014,0.0327,0.1819,100.0,0.27
Realty,1,0.1202,0.1202,0.1202,100.0,0.18
